,car_model,year_of_manufacture,price,fuel,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1
0,ritz,2014,5000.0,Petrol,,,,,,,,,,,,,,,
1,sx4,2013,7089.55,Diesel,,,,,,,,,,,,,,,
2,ciaz,2017,10820.9,Petrol,,,,,,,,,,,,,,,
3,wagon r,2011,4253.73,Petrol,,,,,,,,,,,,,,,
4,swift,2014,6865.67,Diesel,,,,,,,,,,,,,,,
5,vitara brezza,2018,13805.97,Diesel,,,,,,,,,,,,,,,
6,ciaz,2015,10074.63,Petrol,,,,,,,,,,,,,,,
7,s cross,2015,9701.49,Diesel,,,,,,,,,,,,,,,
8,ciaz,2016,13059.7,Diesel,,,,,,,,,,,,,,,
9,ciaz,2015,11119.4,Diesel,,,,,,,,,,,,,,,
10,alto k10,2016,4253.73,Petrol,,,,,,,,,,,,,,,
11,ignis,2017,7313.43,Petrol,,,,,,,,,,,,,,,
12,sx4,2011,6567.16,Petrol,,,,,,,,,,,,,,,
13,alto k10,2014,3731.34,Petrol,,,,,,,,,,,,,,,
14,wagon r,2013,4328.36,Petrol,,,,,,,,,,,,,,,
15,swift,2011,4477.61,Petrol,,,,,,,,,,,,,,,
16,swift,2013,6194.03,Petrol,,,,,,,,,,,,,,,
17,swift,2017,8955.22,Petrol,,,,,,,,,,,,,,,
18,alto k10,2010,2910.45,Petrol,,,,,,,,,,,,,,,
19,ciaz,2015,11119.4,Diesel,,,,,,,,,,,,,,,
20,ritz,2014,5000.0,Petrol,0.0,,,,,,,,,,,,,,
21,sx4,2013,7089.55,Diesel,1.0,,,,,,,,,,,,,,
22,ciaz,2017,10820.9,Petrol,2.0,,,,,,,,,,,,,,
23,wagon r,2011,4253.73,Petrol,3.0,,,,,,,,,,,,,,
24,swift,2014,6865.67,Diesel,4.0,,,,,,,,,,,,,,
25,vitara brezza,2018,13805.97,Diesel,5.0,,,,,,,,,,,,,,
26,ciaz,2015,10074.63,Petrol,6.0,,,,,,,,,,,,,,
27,s cross,2015,9701.49,Diesel,7.0,,,,,,,,,,,,,,
28,ciaz,2016,13059.7,Diesel,8.0,,,,,,,,,,,,,,
29,ciaz,2015,11119.4,Diesel,9.0,,,,,,,,,,,,,,
