,Rates
AED,4.142591
AFN,116.757698
ALL,120.956177
AMD,558.946961
ANG,2.031164
AOA,630.667473
ARS,114.652861
AUD,1.587268
AWG,2.030678
AZN,1.920089
BAM,1.955338
BBD,2.275797
BDT,96.70401
BGN,1.955965
BHD,0.425234
BIF,2246.376123
BMD,1.127841
BND,1.540942
BOB,7.771611
BRL,6.407609
BSD,1.127117
BTC,2.3968899e-05
BTN,85.399203
BWP,13.212513
BYN,2.855544
BYR,22105.690964
BZD,2.271998
CAD,1.446
CDF,2256.810291
CHF,1.041263
CLF,0.034392
CLP,948.976764
CNY,7.178823
COP,4383.355507
CRC,719.589288
CUC,1.127841
CUP,29.887796
CVE,110.236789
CZK,25.407223
DJF,200.656871
DKK,7.435969
DOP,63.856864
DZD,156.880454
EGP,17.715342
ERN,16.917709
ETB,54.905707
EUR,1.0
FJD,2.406363
FKP,0.85082
GBP,0.854215
GEL,3.49062
GGP,0.85082
GHS,6.920629
GIP,0.85082
GMD,59.217777
GNF,10698.823746
GTQ,8.718469
GYD,235.799657
HKD,8.799255
HNL,27.265122
HRK,7.522814
HTG,113.340995
HUF,367.845553
IDR,16175.952147
ILS,3.509132
IMP,0.85082
INR,85.640436
IQD,1645.073598
IRR,47651.298519
ISK,147.611674
JEP,0.85082
JMD,174.440799
JOD,0.799869
JPY,128.1177
KES,127.254094
KGS,95.639929
KHR,4585.226601
KMF,491.597868
KPW,1015.057151
KRW,1334.738269
KWD,0.341775
KYD,0.93936
KZT,491.824138
LAK,12410.868931
LBP,1704.448704
LKR,227.682634
LRD,159.758761
LSL,18.05681
LTL,3.330223
LVL,0.68222
LYD,5.182174
MAD,10.439029
MDL,19.930211
MGA,4475.688429
MKD,61.599782
MMK,2006.32106
MNT,3223.804479
MOP,9.054663
MRO,402.639177
MUR,49.290585
MVR,17.372797
MWK,920.726415
MXN,23.706464
MYR,4.775287
MZN,71.990407
NAD,18.056835
NGN,462.629849
NIO,39.704615
NOK,10.217646
NPR,136.622501
NZD,1.673181
OMR,0.434217
PAB,1.127212
PEN,4.57397
PGK,3.957166
PHP,56.781743
PKR,200.722577
PLN,4.641236
PYG,7690.663704
QAR,4.106476
RON,4.949982
RSD,117.58492
RUB,82.898714
RWF,1168.156769
SAR,4.230804
SBD,9.121313
SCR,15.074954
SDG,493.428984
SEK,10.268765
SGD,1.543733
SHP,1.553486
SLL,12667.914507
SOS,659.787199
SRD,24.29254
STD,23344.039374
SVC,9.863476
SYP,2833.693317
SZL,17.890918
THB,37.695838
TJS,12.725556
TMT,3.947445
TND,3.24424
TOP,2.581291
TRY,15.659767
TTD,7.652242
TWD,31.368201
TZS,2598.546518
UAH,30.336809
UGX,4012.673122
USD,1.127841
UYU,49.836688
UZS,12202.865378
VEF,241166572127.05038
VND,25909.336003
VUV,127.731028
WST,2.93258
XAF,655.719429
XAG,0.050725
XAU,0.000631
XCD,3.048048
XDR,0.807308
XOF,655.792084
XPF,119.551591
YER,282.242603
ZAR,18.091568
ZMK,10151.927487
ZMW,18.231373
ZWL,363.164463
